smiles,similarity
"Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1
",0.2748135398737808
"CNCCCC12CCC(c3ccccc31)c1ccccc12
",0.27522935779816515
"CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1
",0.2761795166858458
"Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
",0.2764465225014611
"CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
",0.27906976744186046
"CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
",0.28
"CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1
",0.2806916426512968
"CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
",0.2828638497652582
"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
",0.2847341337907376
"c1ccc([C@H]2CN3CCSC3=N2)cc1
",0.2849680789320952
"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
",0.2855491329479769
"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO
",0.28563251287922153
"C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
",0.2858776443682104
"C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)CC(=O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
",0.2867773325701202
"Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
",0.2871060171919771
"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
",0.2872032426172554
"C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
",0.28841743119266056
"CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
",0.2897142857142857
